price,sqft,propertytype,bhk,location
69.52,1264,House,2,Sholinganallur
65.89,1198,House,2,Sholinganallur
64.25,1737,House,3,Siruseri
60.66,1640,House,3,Siruseri
57.22,1547,House,3,Siruseri
58.59,1584,House,3,Siruseri
55,1487,Villa,3,Siruseri
58.85,1591,House,3,Siruseri
298,1890,House,3,Guindy
121,2583,House,4,Kanathur Reddikuppam
292,5037,House,5,Kanathur Reddikuppam
123,2635,Villa,4,Kanathur Reddikuppam
295,5093,House,5,Kanathur Reddikuppam
85.99,1865,Flat,3,Kanathur Reddikuppam
85,1635,House,3,Manapakkam
64.99,1274,House,2,Manapakkam
135,2323,House,4,Manapakkam
99.5,1914,House,3,Manapakkam
65.3,1280,House,2,Manapakkam
67.7,1328,House,2,Manapakkam
138,2372,House,4,Manapakkam
77.89,1528,House,3,Manapakkam
78.79,1530,House,3,Ayanambakkam
82.3,1599,House,3,Ayanambakkam
65.5,1472,House,3,Medavakkam
95.23,2140,House,4,Medavakkam
37.15,835,House,2,Medavakkam
58.47,1314,House,3,Medavakkam
79.25,1781,House,3,Medavakkam
79.74,1792,House,3,Medavakkam
74,1605,House,3,Karapakkam
79.16,1616,House,3,Karapakkam
75,1626,House,3,Karapakkam
122,1882,House,3,Madipakkam
79.49,1223,House,2,Madipakkam
84.24,1296,House,2,Madipakkam
95.61,1471,House,3,Madipakkam
117,1807,House,3,Madipakkam
96,1477,House,3,Madipakkam
121,1871,House,3,Madipakkam
79.3,1220,Flat,2,Madipakkam
126,1947,House,3,Madipakkam
92.1,1417,Villa,3,Madipakkam
78.84,1213,House,2,Madipakkam
77.61,1194,House,2,Madipakkam
124,1922,House,3,Madipakkam
81.57,1255,House,2,Madipakkam
82.48,1269,House,2,Madipakkam
125,1925,House,3,Madipakkam
99.32,1528,House,3,Madipakkam
90.74,1396,House,3,Madipakkam
91,1400,House,3,Madipakkam
32.62,989,House,2,Perumbakkam
33.31,1010,House,2,Perumbakkam
38.33,1162,House,3,Perumbakkam
45.92,1392,Flat,3,Perumbakkam
21.04,638,House,1,Perumbakkam
20.68,627,Villa,1,Perumbakkam
59.56,1083,House,2,Medavakkam
51.59,938,House,2,Medavakkam
53.62,975,Flat,2,Medavakkam
87.45,1590,House,3,Medavakkam
53.57,974,House,2,Medavakkam
87.72,1595,House,3,Medavakkam
55.82,1015,House,2,Medavakkam
80.68,1467,House,3,Medavakkam
191,1235,House,3,Anna Nagar
57.12,985,House,2,Medavakkam
57.41,990,House,2,Medavakkam
62.91,1085,House,2,Medavakkam
56.25,970,House,2,Medavakkam
56.83,980,House,2,Medavakkam
30.99,638,House,2,Chromepet
59.22,1245,House,3,Chromepet
43.47,895,House,2,Chromepet
61.55,1294,House,3,Chromepet
58.32,1226,House,3,Chromepet
49.79,1025,House,2,Chromepet
46.83,964,House,2,Chromepet
58.84,1237,House,3,Chromepet
69.92,1470,Villa,3,Chromepet
44.64,919,House,2,Chromepet
63.88,1343,House,3,Chromepet
60.74,1277,House,3,Chromepet
44.59,918,House,2,Chromepet
45.9,945,House,2,Chromepet
31.38,646,House,2,Chromepet
59.98,1261,House,3,Chromepet
63.22,1329,House,3,Chromepet
56.98,1198,House,3,Chromepet
47.65,981,House,2,Chromepet
84.88,1307,House,3,Karapakkam
33.77,538,House,1,Karapakkam
85.34,1314,House,3,Karapakkam
66.7,1027,Flat,2,Karapakkam
88.2,1358,Flat,3,Karapakkam
66.5,1024,Flat,2,Karapakkam
174,2686,Flat,4,Karapakkam
101,1561,Flat,3,Karapakkam
84.17,1296,Flat,3,Karapakkam
101,1566,Flat,3,Karapakkam
118,1829,Flat,3,Karapakkam
101,1564,Flat,3,Karapakkam
87.55,1348,Flat,3,Karapakkam
126,1944,Flat,3,Karapakkam
171,2640,Flat,4,Karapakkam
34.46,549,Flat,1,Karapakkam
170,2630,Flat,4,Karapakkam
169,2616,Flat,4,Karapakkam
103,1599,Flat,3,Karapakkam
80.09,1045,Flat,2,East Tambaram
47.19,640,Flat,1,East Tambaram
82.21,1075,Flat,2,East Tambaram
69.1,890,Flat,2,East Tambaram
85.05,1115,Flat,2,East Tambaram
74.42,965,Flat,2,East Tambaram
115,1290,Flat,3,East Tambaram
91.2,1010,Flat,2,East Tambaram
76.9,1000,Villa,2,East Tambaram
114,1275,Flat,3,East Tambaram
118,1315,Flat,3,East Tambaram
120,1320,Flat,3,East Tambaram
115,1290,Flat,3,East Tambaram
91.2,1010,Flat,2,East Tambaram
63.18,1011,Flat,2,Sholinganallur
63.18,1011,Flat,2,Sholinganallur
54.81,877,Villa,2,Sholinganallur
54.81,877,Flat,2,Sholinganallur
62.75,1004,Flat,2,Sholinganallur
63.18,1011,Flat,2,Sholinganallur
62.75,1004,Flat,2,Sholinganallur
54.81,877,Flat,2,Sholinganallur
63.18,1011,Flat,2,Sholinganallur
57.87,926,Flat,2,Sholinganallur
54.81,877,Flat,2,Sholinganallur
57.87,926,Flat,2,Sholinganallur
115,1385,Flat,3,Sembakkam
110,1320,Flat,3,Sembakkam
88.73,1050,Flat,2,Sembakkam
82.87,975,Flat,2,Sembakkam
47.07,585,Flat,1,Sembakkam
86.78,1025,Flat,2,Sembakkam
124,1500,Flat,3,Sembakkam
12.83,391,Flat,1,Thandalam
21,667,Flat,2,Thandalam
20.97,666,Flat,2,Thandalam
20.77,659,Villa,2,Thandalam
12.89,394,Flat,1,Thandalam
22.19,707,Flat,2,Thandalam
21.21,674,Flat,2,Thandalam
84.13,1325,Flat,2,Medavakkam
84.13,1325,Flat,2,Medavakkam
73.34,1155,Flat,2,Medavakkam
73.34,1155,Flat,2,Medavakkam
73.21,1153,Flat,2,Medavakkam
73.21,1153,Flat,2,Medavakkam
98.42,1550,Flat,3,Medavakkam
98.42,1550,Flat,3,Medavakkam
83.69,1318,Flat,2,Medavakkam
83.69,1318,Flat,2,Medavakkam
73.46,1157,Flat,2,Medavakkam
73.46,1157,Flat,2,Medavakkam
73.4,1156,Flat,2,Medavakkam
73.4,1156,Villa,2,Medavakkam
99.06,1560,Flat,3,Medavakkam
99.06,1560,Flat,3,Medavakkam
84.96,1338,Flat,2,Medavakkam
84.96,1338,Flat,2,Medavakkam
58.43,1113,Flat,2,Ayanambakkam
54.81,1044,Flat,2,Ayanambakkam
54.96,1047,Flat,2,Ayanambakkam
58.43,1113,Flat,2,Ayanambakkam
54.81,1044,Flat,2,Ayanambakkam
54.96,1047,Flat,2,Ayanambakkam
54.81,1044,Flat,2,Ayanambakkam
50.76,967,Flat,2,Ayanambakkam
50.76,967,Flat,2,Ayanambakkam
58.9,1122,Flat,2,Ayanambakkam
58.9,1122,Flat,2,Ayanambakkam
57.01,1086,Flat,2,Ayanambakkam
57.01,1086,Flat,2,Ayanambakkam
72.63,1089,Flat,2,Madipakkam
74.25,1114,Flat,2,Madipakkam
92.56,1420,Flat,3,Madipakkam
96.94,1491,Flat,3,Madipakkam
93.47,1435,Flat,3,Madipakkam
85.28,1303,Flat,3,Madipakkam
33,601,Flat,1,Ambattur
66.82,1310,Flat,3,Sithalapakkam
64.08,1250,Flat,3,Sithalapakkam
54.14,1050,Flat,2,Sithalapakkam
69.33,1365,Flat,3,Sithalapakkam
39.49,800,Flat,2,Sithalapakkam
53.45,1035,Flat,2,Sithalapakkam
29.72,625,Flat,1,Sithalapakkam
71.39,1410,Flat,3,Sithalapakkam
31.28,660,Flat,1,Sithalapakkam
55.74,1085,Flat,2,Sithalapakkam
65.45,1280,Villa,2,Sithalapakkam
29.27,615,Flat,1,Sithalapakkam
54.59,1060,Villa,2,Sithalapakkam
52.54,1015,Flat,2,Sithalapakkam
30.61,645,Flat,1,Sithalapakkam
54.82,1065,Flat,2,Sithalapakkam
221,1250,Villa,3,Anna Nagar
47.38,1030,Flat,2,Kolapakkam
47.15,1025,Flat,2,Kolapakkam
42.55,925,Flat,2,Kolapakkam
44.39,965,Villa,2,Kolapakkam
50.6,1100,Flat,2,Kolapakkam
42.78,930,Flat,2,Kolapakkam
45.54,990,Flat,2,Kolapakkam
55.79,1213,Flat,3,Kolapakkam
49.91,1085,Flat,2,Kolapakkam
46.92,1020,Flat,2,Kolapakkam
48.99,1065,Flat,2,Kolapakkam
33.29,1009,Flat,2,Thaiyur
39.5,1197,Flat,3,Thaiyur
33.42,1013,Villa,2,Thaiyur
72.2,1313,Flat,2,Thoraipakkam OMR
49.05,892,Flat,2,Thoraipakkam OMR
64.77,1178,Flat,2,Thoraipakkam OMR
32.3,718,Flat,2,Poonamallee
38.6,858,Flat,2,Poonamallee
33.42,743,Flat,2,Poonamallee
38.96,866,Flat,2,Poonamallee
42.28,588,Flat,2,Pallavaram
73.82,1085,Flat,2,Pallavaram
73.82,1085,Flat,2,Pallavaram
42.28,588,Flat,2,Pallavaram
42.28,588,Flat,2,Pallavaram
73.82,1085,Flat,2,Pallavaram
73.82,1085,Flat,2,Pallavaram
71.08,1021,Flat,2,Pallavaram
71.08,1021,Flat,2,Pallavaram
108,1564,Flat,3,Pallavaram
108,1564,Flat,3,Pallavaram
94.51,1400,Flat,3,Pallavaram
94.51,1400,Flat,3,Pallavaram
51.24,1046,Flat,2,Madhavaram
51.24,1046,Flat,2,Madhavaram
76.86,1569,Flat,3,Madhavaram
76.86,1569,Flat,3,Madhavaram
51.24,1046,Flat,2,Madhavaram
51.24,1046,House,2,Madhavaram
76.86,1569,Flat,3,Madhavaram
76.86,1569,Flat,3,Madhavaram
64.17,1310,Flat,3,Madhavaram
64.17,1310,Flat,3,Madhavaram
51.73,1056,Flat,2,Madhavaram
51.73,1056,House,2,Madhavaram
51.58,1053,Flat,2,Madhavaram
51.58,1053,Flat,2,Madhavaram
69.66,1422,Flat,3,Madhavaram
69.66,1422,Flat,3,Madhavaram
48.69,994,Flat,2,Madhavaram
48.69,994,Flat,2,Madhavaram
48.59,992,Flat,2,Madhavaram
48.59,992,Flat,2,Madhavaram
63.34,1293,Villa,3,Madhavaram
63.34,1293,Flat,3,Madhavaram
76.47,1561,Flat,3,Madhavaram
76.47,1561,Flat,3,Madhavaram
63.83,1303,Flat,3,Madhavaram
63.83,1303,Flat,3,Madhavaram
57.41,1172,Flat,2,Madhavaram
57.41,1172,Flat,2,Madhavaram
48.74,995,Flat,2,Madhavaram
48.74,995,Flat,2,Madhavaram
81.71,1668,Flat,3,Madhavaram
81.71,1668,Flat,3,Madhavaram
72.01,1470,Flat,3,Madhavaram
72.01,1470,Flat,3,Madhavaram
62.31,1272,Flat,3,Madhavaram
62.31,1272,Flat,3,Madhavaram
82,1674,Flat,3,Madhavaram
82,1674,Flat,3,Madhavaram
75.54,1542,Flat,3,Madhavaram
75.54,1542,Flat,3,Madhavaram
62.7,1280,Flat,3,Madhavaram
62.7,1280,Villa,3,Madhavaram
63,1286,Flat,3,Madhavaram
63,1286,Flat,3,Madhavaram
74.56,1522,Flat,3,Madhavaram
74.56,1522,Flat,3,Madhavaram
49.43,1009,Flat,2,Madhavaram
49.43,1009,Villa,2,Madhavaram
67.32,1030,Villa,2,Selaiyur
67.32,1030,Flat,2,Selaiyur
79.71,1226,Villa,3,Selaiyur
79.71,1226,Flat,3,Selaiyur
67.32,1030,Flat,2,Selaiyur
67.32,1030,Flat,2,Selaiyur
79.71,1226,Flat,3,Selaiyur
79.71,1226,Flat,3,Selaiyur
50.21,1152,Flat,2,Padur
50.08,1149,Flat,2,Padur
50.08,1149,Flat,2,Padur
49.99,1147,Flat,2,Padur
49.99,1147,Flat,2,Padur
59.33,1361,Flat,2,Padur
59.33,1361,Flat,2,Padur
56.46,1295,Flat,2,Padur
56.46,1295,Flat,2,Padur
54.96,1261,Villa,2,Padur
54.96,1261,Flat,2,Padur
59.16,1357,Flat,2,Padur
59.16,1357,Flat,2,Padur
55.24,1267,Flat,2,Padur
55.24,1267,Flat,2,Padur
55.14,1265,Flat,2,Padur
55.14,1265,Flat,2,Padur
55.05,1263,Flat,2,Padur
55.05,1263,Flat,2,Padur
65.8,1535,Flat,3,Perumbakkam
39.75,885,Flat,2,Perumbakkam
70.4,1650,Flat,3,Perumbakkam
56.98,1315,Flat,2,Perumbakkam
47.68,1080,Villa,2,Perumbakkam
278,1652,Flat,3,Adyar
274,1627,Flat,3,Adyar
62.09,910,Flat,2,Gowrivakkam
85.25,1270,Flat,3,Gowrivakkam
51.44,973,Flat,2,Perumbakkam
54.52,806,Flat,2,East Tambaram
49.77,734,Flat,2,East Tambaram
59.4,882,Flat,2,East Tambaram
87.27,1106,Flat,3,East Tambaram
105,1360,Flat,4,East Tambaram
71.68,893,Flat,2,East Tambaram
70.44,876,Flat,2,East Tambaram
65.97,1115,Flat,2,Madambakkam
59.17,992,Flat,2,Madambakkam
57.34,958,Flat,2,Madambakkam
58.64,982,Flat,2,Madambakkam
58.69,981,Flat,2,Madambakkam
38.61,990,Flat,3,Chromepet
35.45,909,Flat,3,Chromepet
35.52,911,Flat,3,Chromepet
25.15,645,Flat,2,Chromepet
35.49,910,Flat,3,Chromepet
24.92,639,Flat,2,Chromepet
35.13,901,Flat,2,Chromepet
24.84,637,Flat,2,Chromepet
37.86,971,Flat,3,Chromepet
27.65,709,Flat,2,Chromepet
25.03,642,Flat,2,Chromepet
35.33,906,Flat,3,Chromepet
24.57,630,Flat,2,Chromepet
24.53,629,Flat,2,Chromepet
24.49,628,Flat,2,Chromepet
34.94,896,Flat,3,Chromepet
37.63,965,Villa,3,Chromepet
24.68,633,Flat,2,Chromepet
24.25,622,Flat,2,Chromepet
24.41,626,Flat,2,Chromepet
34.2,877,Flat,2,Chromepet
24.02,616,Flat,2,Chromepet
34.32,880,Villa,2,Chromepet
34.28,879,Flat,2,Chromepet
131,1556,Flat,2,Perungudi
251,2550,Flat,3,Perungudi
226,2288,Flat,3,Perungudi
306,3096,Flat,4,Perungudi
223,2256,Flat,3,Perungudi
172,2030,Flat,3,Perungudi
192,2269,Flat,3,Perungudi
124,1477,Flat,2,Perungudi
147,1734,Flat,3,Perungudi
113,1343,Villa,2,Perungudi
169,2004,Flat,3,Perungudi
321,3252,Villa,4,Perungudi
187,2223,Flat,3,Perungudi
190,2242,Flat,3,Perungudi
190,2238,Flat,3,Perungudi
169,1989,Flat,3,Perungudi
147,1723,Villa,3,Perungudi
146,1730,Flat,3,Perungudi
156,1836,House,3,Perungudi
111,1311,Flat,2,Perungudi
131,1561,Flat,2,Perungudi
240,2429,Flat,3,Perungudi
110,1317,Flat,2,Perungudi
111,1313,Flat,2,Perungudi
182,1636,Flat,3,Vadapalani
178,2113,Flat,3,Perungudi
132,1176,Flat,2,Vadapalani
134,1583,Flat,2,Perungudi
131,1174,Flat,2,Vadapalani
133,1577,Flat,2,Perungudi
204,1838,Flat,3,Vadapalani
132,1180,Flat,2,Vadapalani
133,1580,Villa,2,Perungudi
255,2307,House,4,Vadapalani
201,1816,Flat,3,Vadapalani
236,2398,Flat,3,Perungudi
254,2301,House,4,Vadapalani
316,3210,Flat,4,Perungudi
181,1624,Flat,3,Vadapalani
163,1941,House,3,Perungudi
